,#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
215,214,Ketel Marte,ARI,9,33,39,7,4,3,0,0,1,3,3,0,9,2,1,0,1,1,0,.212
216,215,Hunter Renfroe,MIL,9,33,36,7,5,2,0,0,1,2,3,0,11,0,0,0,1,0,0,.212
217,216,Jose Abreu,CHW,9,33,37,7,4,2,0,1,8,4,4,0,10,0,0,0,0,0,0,.212
218,217,Andy Ibanez,TEX,9,33,33,7,6,1,0,0,3,3,0,0,6,0,0,0,0,1,0,.212
219,218,Austin Hays,BAL,9,33,39,7,5,2,0,0,3,0,6,0,9,0,0,0,1,0,1,.212
220,219,Omar Narvaez,MIL,6,19,22,4,2,1,0,1,1,3,2,1,6,1,0,0,0,0,0,.211
221,220,Jake Cronenworth,SDP,11,38,47,8,6,1,1,0,3,5,7,1,8,1,1,0,0,0,0,.211
222,221,Brandon Lowe,TBR,10,38,44,8,5,0,0,3,8,6,5,0,10,0,1,0,1,0,0,.211
223,222,Avisail Garcia,MIA,6,24,25,5,3,1,0,1,2,1,1,0,6,0,0,0,2,0,0,.208
224,223,Steven Duggar,SFG,8,24,27,5,2,3,0,0,1,4,2,0,11,0,1,0,0,3,0,.208
225,224,Yandy Diaz,TBR,9,29,35,6,5,1,0,0,4,2,6,0,4,0,0,0,0,0,0,.207
226,225,Mookie Betts,LAD,8,34,38,7,5,2,0,0,5,3,3,0,8,1,0,0,1,1,0,.206
227,226,Josh Donaldson,NYY,10,40,43,8,5,2,0,1,4,3,3,0,15,0,0,0,2,0,0,.200
228,227,Christian Yelich,MIL,9,30,39,6,3,3,0,0,5,2,7,0,11,1,1,0,0,0,0,.200
229,228,Hanser Alberto,LAD,3,5,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.200
230,229,Rougned Odor,BAL,8,20,22,4,3,1,0,0,1,2,1,0,7,1,0,0,0,0,0,.200
231,230,Jorge Polanco,MIN,9,30,36,6,3,2,0,1,4,3,6,0,11,0,0,0,0,0,1,.200
